Date,Hillside OAT [F],Main Meter [kW],Boiler Gas [kBtu/hr]
1/11/2012 6:00,46.95,154.38,1156.28
1/11/2012 7:00,47.68,168.54,1139.48
1/11/2012 8:00,52.38,187.98,1101.54
1/11/2012 9:00,68.94,203.72,865.2
1/11/2012 10:00,78.52,213.18,542.66
1/11/2012 11:00,80.1,213.59,466.04
1/11/2012 12:00,63.71,216.95,386.84
1/11/2012 13:00,62.3,218.34,338.89
1/11/2012 14:00,63.93,216.72,295.39
1/11/2012 15:00,63.04,213.02,289.12
1/11/2012 16:00,61.71,204.36,288.07
1/11/2012 17:00,58.11,183.22,275.26
1/11/2012 18:00,56.38,135.93,168.12
1/11/2012 19:00,56.35,120.16,118.56
1/11/2012 20:00,56.84,113.42,191.09
1/11/2012 21:00,55.63,113.78,202.92
1/11/2012 22:00,55.08,110.91,230.7
1/11/2012 23:00,53.28,108.59,260.02
1/12/2012 0:00,52.1,109.72,325.52
1/12/2012 1:00,51.62,110.94,440.39
1/12/2012 2:00,51.03,114.84,481.29
1/12/2012 3:00,50.36,115.63,512.15
1/12/2012 4:00,51.25,136.26,725.46
1/12/2012 5:00,52.55,140.42,981.04
1/12/2012 6:00,53.08,151.41,1146.64
1/12/2012 7:00,51.39,164.22,984.85
1/12/2012 8:00,52.84,184.16,946.01
1/12/2012 9:00,61.74,200.2,759.24
1/12/2012 10:00,73.12,207.78,535.62
1/12/2012 11:00,79.96,206.84,307.82
1/12/2012 12:00,65.66,209.64,307.73
1/12/2012 13:00,62.84,212.67,281.23
1/12/2012 14:00,62.93,213.63,285.02
1/12/2012 15:00,63.03,208.34,275.99
1/12/2012 16:00,61.58,203.57,247.69
1/12/2012 17:00,59.02,185.3,201.86
1/12/2012 18:00,58.1,130.62,169.13
1/12/2012 19:00,57.78,114.19,156.07
1/12/2012 20:00,57.66,109.39,173.52
1/12/2012 21:00,57.58,108.17,217.21
1/12/2012 22:00,56.98,104.61,262.68
1/12/2012 23:00,57.21,104.87,363.12
1/13/2012 0:00,54.13,107.88,461.2
1/13/2012 1:00,51.43,108.67,531.93
1/13/2012 2:00,50.27,110.95,585.18
1/13/2012 3:00,49.95,110.72,587.09
1/13/2012 4:00,49.49,136.08,913.09
1/13/2012 5:00,50.38,140.46,1144.57
1/13/2012 6:00,54.41,149.08,1280.84
1/13/2012 7:00,53.87,163.42,1317.35
1/13/2012 8:00,54.55,182.08,1274.29
1/13/2012 9:00,63.08,197.81,956.48
1/13/2012 10:00,74.31,203.62,607.43
1/13/2012 11:00,81.1,205.54,446.2
1/13/2012 12:00,66.55,205.99,373.23
1/13/2012 13:00,63.33,210.18,391.33
1/13/2012 14:00,63.7,218.35,376.42
1/13/2012 15:00,63.9,213.66,378.96
1/13/2012 16:00,62.71,202.92,364.85
1/13/2012 17:00,58.73,179.81,312.36
1/13/2012 18:00,56.7,129.95,179.2
1/13/2012 19:00,56.34,115.79,95.41
1/13/2012 20:00,55.88,110.63,120.4
1/13/2012 21:00,54.99,110.71,119.52
1/13/2012 22:00,54.69,107.33,171.82
1/13/2012 23:00,53.84,106.12,248.05
1/14/2012 0:00,53.33,106.33,265.29
1/14/2012 1:00,51.85,107.39,244.03
1/14/2012 2:00,51.38,110.28,259.27
1/14/2012 3:00,51.18,110.15,367.82
1/14/2012 4:00,50.77,111.29,310.75
1/14/2012 5:00,50.36,112.86,343.12
1/14/2012 6:00,48.76,112.44,344.78
1/14/2012 7:00,47.51,112.59,343.45
1/14/2012 8:00,50.31,112.26,383.75
1/14/2012 9:00,65.51,112.77,362.74
1/14/2012 10:00,77.23,112.25,311.72
1/14/2012 11:00,81.5,110.32,240.17
1/14/2012 12:00,65.02,109.21,210.76
1/14/2012 13:00,61.12,108.27,190.73
1/14/2012 14:00,61.78,108.31,172.89
1/14/2012 15:00,62.26,108.63,162.37
1/14/2012 16:00,60.48,108.1,165.14
1/14/2012 17:00,56.06,107.18,159.27
1/14/2012 18:00,53.71,107.71,144.58
1/14/2012 19:00,53.13,109.21,229.76
1/14/2012 20:00,52.03,110.75,321.85
1/14/2012 21:00,50.49,111.63,352.61
1/14/2012 22:00,49.03,113.03,382.61
1/14/2012 23:00,49.89,113.13,476.74
1/15/2012 0:00,48.65,112.64,475.05
1/15/2012 1:00,46.21,113.18,462.16
1/15/2012 2:00,45.94,116.59,472.91
1/15/2012 3:00,46.21,115.91,473.28
1/15/2012 4:00,46.01,116.58,473.59
1/15/2012 5:00,45.99,116.62,474.78
1/15/2012 6:00,45.81,117.6,488.28
1/15/2012 7:00,46.02,119.11,531.43
